,Question_url,Question,Followers,Last_followed_date,Views,answers,merged
611,https://www.quora.com/Whats-the-difference-between-Machine-Learning-and-AI,What's the difference between Machine Learning and AI?,506,Jul 27,625400.0,100,88
75,https://www.quora.com/Which-company-will-fall-first-Google-Apple-Facebook-Amazon-or-Microsoft,"Which company will fall first: Google, Apple, Facebook, Amazon, or Microsoft?",454,Aug 10,2900000.0,100,4
591,https://www.quora.com/What-are-the-advantages-of-artificial-intelligence,What are the advantages of artificial intelligence?,426,Sep 3,273800.0,100,162
38,https://www.quora.com/What-dont-people-tell-you-about-working-at-a-top-tech-company,What don't people tell you about working at a top tech company?,386,Sep 7,1900000.0,71,3
557,https://www.quora.com/What-is-cloud-computing-and-its-advantages,What is cloud computing and its advantages?,321,May 13,226100.0,100,47
592,https://www.quora.com/How-does-artificial-intelligence-affect-human-life,How does artificial intelligence affect human life?,295,Aug 29,174200.0,100,119
421,https://www.quora.com/Which-ten-Silicon-Valley-companies-consistently-give-the-toughest-interviews,Which ten Silicon Valley companies consistently give the toughest interviews?,252,Feb 8,399000.0,9,0
76,https://www.quora.com/Whats-it-like-to-receive-a-question-mark-e-mail-from-Jeff-Bezos-at-Amazon-Inc,"What's it like to receive a question mark e-mail from Jeff Bezos, at Amazon, Inc.?",242,"Mar 31, 2020",348700.0,6,0
218,https://www.quora.com/Who-is-more-technically-competent-Larry-Page-Sergey-Brin-Mark-Zuckerberg-Bill-Gates-or-Steve-Jobs-based-on-their-technical-knowledge-and-achievements-without-any-bias-based-on-their-successful-companies,"Who is more technically competent: Larry Page, Sergey Brin, Mark Zuckerberg, Bill Gates or Steve Jobs, based on their technical knowledge and achievements without any bias based on their successful companies?",231,"Mar 6, 2018",394900.0,38,0
518,https://www.quora.com/Is-Amazon-an-unpleasant-place-to-work-Why-or-why-not,Is Amazon an unpleasant place to work? Why or why not?,224,Jun 21,957800.0,39,2
426,https://www.quora.com/What-are-the-current-top-5-tech-companies-in-Silicon-Valley-with-the-hardest-engineering-interviews,What are the current top 5 tech companies in Silicon Valley with the hardest engineering interviews?,212,Jan 10,354600.0,10,2
560,https://www.quora.com/What-is-cloud-computing-in-laymans-terms,What is cloud computing in layman's terms?,200,"Mar 8, 2021",122800.0,100,38
555,https://www.quora.com/What-is-cloud-computing-1,What is cloud computing?,184,Mon,93500.0,100,26
432,https://www.quora.com/Whats-it-like-to-work-at-Netflix,What's it like to work at Netflix?,158,"Jul 13, 2021",103800.0,10,7
65,https://www.quora.com/How-does-one-get-a-job-at-tech-giants-such-as-Google-Microsoft-and-Amazon-I-know-C-and-Python-and-currently-learning-Java-but-dont-have-any-project-or-competitive-coding-experience,"How does one get a job at tech giants such as Google, Microsoft, and Amazon? I know C++ and Python, and currently learning Java, but don't have any project or competitive coding experience.",146,"Feb 27, 2021",266800.0,12,0
36,https://www.quora.com/Does-life-get-easier-after-you-get-hired-by-Google-Facebook-Microsoft-or-Amazon,"Does life get easier after you get hired by Google, Facebook, Microsoft or Amazon?",144,Aug 2,1800000.0,52,0
67,https://www.quora.com/What-questions-were-you-asked-in-the-programming-interview-for-Google-Amazon-Facebook-or-Microsoft,"What questions were you asked in the programming interview for Google, Amazon, Facebook, or Microsoft?",122,Jul 25,221600.0,4,0
460,https://www.quora.com/What-is-it-like-to-work-at-Microsoft-Managers-atmosphere-organization-in-kind-benefits-salaries-etc,"What is it like to work at Microsoft? Managers, atmosphere, organization, in-kind benefits, salaries, etc.",121,Jul 21,150700.0,11,9
